时间,错误量
1513647602695,0
1513647612692,0
1513647622698,0
1513647632694,0
1513647642702,0
1513647713795,0
1513647723793,0
1513647733792,0
1513647743800,0
1513647753795,0
1513647763790,0
1513647773793,0
1513647783793,0
1513647793795,0
1513647803795,0
1513647813796,0
1513647823794,0
1513647833795,0
1513647843796,0
1513647853796,0
1513647863798,0
1513647873798,0
1513647883795,0
1513647893795,0
1513647903796,0
1513647913797,0
1513647923797,0
1513647933798,0
1513647943795,0
1513647953797,0
1513647963797,0
1513647973798,0
1513647983801,0
1513647993800,0
1513648003797,0
1513648013797,0
1513648023798,0
1513648033798,0
1513648043799,0
1513648053800,0
1513648063797,0
1513648073798,0
1513648083798,0
1513648093800,0
1513648103799,0
1513648113800,0
1513648123797,0
1513648133796,0
1513648143797,0
1513648153798,0
1513648163799,0
1513648173799,0
1513648183797,0
1513648193798,0
1513648203798,0
1513648213799,0
