时间,白屏时间,用户可操作时间,总下载时间
1513613775662,1697,2044,23194
1513615390304,277,509,667
1513616128849,87,1768,2287
1513616286815,475,523,525
1513616653255,669,2155,2740
1513617534766,341,527,695
1513618262243,1414,3134,3157
1513625927186,313,522,700
1513626418431,1095,2297,2768
1513630694091,181,363,718
1513631180498,184,355,438
1513633807591,25,916,1476
1513635587260,556,1042,1150
1513641500741,446,2578,2596
1513642857353,765,1013,1288
1513643084341,608,1181,1350
1513643280120,557,1498,1553
1513643606831,129,1800,2007
1513643808993,1632,1824,2822
1513643944194,336,515,950
1513644080702,979,1158,1415
1513644204407,1917,2120,2454
1513644276045,446,694,862
1513644303077,1683,1925,2613
1513644395237,530,919,1266
1513645327783,2871,2919,4637
1513645317592,307,493,737
1513645562912,NaN,NaN,NaN
1513645878560,1510,2625,2999
1513645986419,888,1231,1349
1513646147714,489,656,794
1513646211304,559,864,1015
1513646211304,525,1308,1474
1513646382983,673,954,1353
1513646509172,676,907,1091
1513646714594,1790,2059,2888
1513646735745,354,581,776
1513646799783,544,776,939
1513646923819,700,919,1995
1513647000207,1301,1486,2009
1513647077802,1006,1636,2382
1513647298283,247,1479,1599
1513647369044,324,533,726
1513647513253,248,1133,1413
1513647646999,314,603,750
1513647819589,474,628,838
1513647963527,457,705,826
1513648264830,533,896,1186
1513648291176,327,717,865
1513648406601,359,623,949
1513648421846,326,516,788
1513648480117,186,330,425
1513648537649,504,765,941
1513648613999,300,557,653
1513648741618,354,534,687
1513648779064,2187,2977,3603
1513648881248,2904,6729,8855
1513648904996,437,809,912
1513648981349,8883,14461,25102
1513649050454,253,480,633
1513649122181,436,589,750
1513649165869,668,858,1027
1513649292460,268,489,667
1513649334324,952,2117,3094
1513649471217,1602,1781,3510
1513649594002,554,3350,3441
1513649642923,974,1236,1381
1513649693750,282,825,879
1513649734064,400,975,1091
1513649837837,503,845,1028
1513649861226,1546,1886,13710
1513649926069,1977,2588,3957
1513650008049,568,903,2924
1513650063377,344,548,804
1513650391992,1027,1216,2325
1513650500217,850,1203,2240
1513650634229,10893,11245,11437
1513650777748,414,594,779
1513651152984,11094,11782,12197
1513651217826,726,1006,1476
1513651267214,395,1526,1621
1513651366522,11120,12099,12379
1513651965903,1308,1517,8070
1513652080917,1111,1366,3165
1513652668500,1115,1323,2214
1513652760728,3540,4831,7016
1513652890326,390,618,800
1513653407935,892,1161,1541
1513653988435,420,890,1664
1513654120916,496,650,903
1513654494839,1184,1411,1559
1513654825644,374,653,739
1513654886234,375,644,1450
1513654952072,2984,3237,4109
1513655865425,864,3347,3444
1513656165231,545,685,816
1513658014245,1650,1857,2895
1513658513232,2410,3226,3691
1513658824790,701,1257,1370
1513659889268,753,1035,1753
1513660089730,2593,5866,8886
1513661198219,778,2037,2480
1513661551991,855,1174,1479
1513661745313,1356,1573,1670
1513662283133,609,844,965
1513662482904,491,1291,1952
1513662538784,818,1313,1660
1513662885838,772,973,1540
1513662935734,1144,1321,2102
1513663018631,900,1174,1371
1513663030576,831,1044,1773
1513663083025,497,674,870
1513663151293,207,454,619
1513663328419,2461,2678,4909
1513663526483,1239,1675,1785
1513663534687,566,803,1100
1513663660605,634,1635,1856
1513663723858,645,1481,1803
1513663788979,568,873,1086
1513663893654,12248,12790,26374
1513663965929,3428,3919,6389
1513663996873,397,639,746
1513664047719,563,695,870
1513664332163,257,430,947
1513665025983,185,416,578
1513665060194,539,1041,1243
1513665168002,132,516,662
1513665187048,233,556,713
1513665294351,147,600,783
1513665306348,245,484,635
1513665411669,173,525,678
1513665567647,190,568,671
